tahun,nama_kabupaten_kota,nama_kecamatan,jumlah_kelurahan,jumlah_rw,jumlah_rt,jumlah_kk
2011,Kepulauan Seribu,Kepulauan Seribu Selatan,3,11,47,2709.0
2011,Kepulauan Seribu,Kepulauan Seribu Utara,3,13,54,4177.0
2011,Jakarta Pusat,Gambir,6,46,484,33884.0
2011,Jakarta Pusat,Sawah Besar,5,49,598,43147.0
2011,Jakarta Pusat,Kemayoran,8,77,983,76715.0
2011,Jakarta Pusat,Senen,6,47,513,40120.0
2011,Jakarta Pusat,Cempaka Putih,3,30,366,30805.0
2011,Jakarta Pusat,Menteng,5,38,425,28685.0
2011,Jakarta Pusat,Tanah Abang,7,67,717,55585.0
2011,Jakarta Pusat,Johar Baru,4,40,558,42128.0
2011,Jakarta Utara,Penjaringan,5,70,841,91837.0
2011,Jakarta Utara,Tanjung Priok,7,103,1268,127405.0
2011,Jakarta Utara,Koja,6,76,835,100570.0
2011,Jakarta Utara,Cilincing,7,82,964,125642.0
2011,Jakarta Utara,Pademangan,3,33,421,52976.0
2011,Jakarta Utara,Kelapa Gading,3,67,698,40909.0
2011,Jakarta Barat,Cengkareng,6,84,1000,143923.0
2011,Jakarta Barat,Grogol Petamburan,7,73,863,75438.0
2011,Jakarta Barat,Taman Sari,8,60,687,45891.0
2011,Jakarta Barat,Tambora,11,96,1082,86251.0
2011,Jakarta Barat,Kebon Jeruk,7,70,714,94185.0
2011,Jakarta Barat,Kalideres,5,74,742,110519.0
2011,Jakarta Barat,Palmerah,6,61,711,66824.0
2011,Jakarta Barat,Kembangan,6,62,610,72914.0
2011,Jakarta Selatan,Tebet,7,80,946,74566.0
2011,Jakarta Selatan,Setiabudi,8,50,515,37682.0
2011,Jakarta Selatan,Mampang Prapatan,5,38,410,45852.0
2011,Jakarta Selatan,Pasar Minggu,7,65,725,90794.0
2011,Jakarta Selatan,Kebayoran Lama,6,77,856,92949.0
2011,Jakarta Selatan,Cilandak,5,45,468,65045.0
2011,Jakarta Selatan,Kebayoran Baru,10,73,658,50941.0
2011,Jakarta Selatan,Pancoran,6,43,481,48620.0
2011,Jakarta Selatan,Jagakarsa,6,54,542,83129.0
2011,Jakarta Selatan,Pesanggrahan,5,51,527,67724.0
2011,Jakarta Timur,Matraman,6,62,792,63641.0
2011,Jakarta Timur,Pulo Gadung,7,93,1024,99320.0
2011,Jakarta Timur,Jatinegara,8,90,1142,100236.0
2011,Jakarta Timur,Kramat Jati,7,65,654,85199.0
2011,Jakarta Timur,Pasar Rebo,5,53,527,58686.0
2011,Jakarta Timur,Cakung,7,84,952,155740.0
2011,Jakarta Timur,Duren Sawit,7,95,1105,121454.0
2011,Jakarta Timur,Makasar,5,53,587,60226.0
2011,Jakarta Timur,Ciracas,5,49,600,82956.0
2011,Jakarta Timur,Cipayung,8,56,503,67017.0
2012,Kepulauan Seribu,Kepulauan Seribu Selatan,3,11,52,2460.0
2012,Kepulauan Seribu,Kepulauan Seribu Utara,3,13,75,3931.0
2012,Jakarta Pusat,Gambir,6,44,483,32182.0
2012,Jakarta Pusat,Sawah Besar,5,49,598,43491.0
2012,Jakarta Pusat,Kemayoran,8,77,986,75081.0
2012,Jakarta Pusat,Senen,6,48,512,39985.0
2012,Jakarta Pusat,Cempaka Putih,3,30,366,30223.0
2012,Jakarta Pusat,Menteng,5,38,425,27838.0
2012,Jakarta Pusat,Tanah Abang,7,67,715,55234.0
2012,Jakarta Pusat,Johar Baru,4,40,558,41525.0
2012,Jakarta Utara,Penjaringan,5,69,832,93565.0
2012,Jakarta Utara,Tanjung Priok,7,103,1272,186058.0
2012,Jakarta Utara,Koja,6,81,896,101612.0
2012,Jakarta Utara,Cilincing,7,86,998,120860.0
2012,Jakarta Utara,Pademangan,3,33,424,57399.0
2012,Jakarta Utara,Kelapa Gading,3,68,706,53069.0
2012,Jakarta Barat,Cengkareng,6,84,999,147998.0
2012,Jakarta Barat,Grogol Petamburan,7,73,863,75476.0
2012,Jakarta Barat,Taman Sari,8,60,690,45348.0
2012,Jakarta Barat,Tambora,11,96,1082,85926.0
2012,Jakarta Barat,Kebon Jeruk,7,70,714,95048.0
2012,Jakarta Barat,Kalideres,5,74,742,114673.0
2012,Jakarta Barat,Palmerah,6,61,711,66240.0
2012,Jakarta Barat,Kembangan,6,62,610,75009.0
2012,Jakarta Selatan,Tebet,7,80,936,67366.0
2012,Jakarta Selatan,Setiabudi,8,50,512,33233.0
2012,Jakarta Selatan,Mampang Prapatan,5,38,411,46874.0
2012,Jakarta Selatan,Pasar Minggu,7,65,725,92648.0
2012,Jakarta Selatan,Kebayoran Lama,6,77,858,92283.0
2012,Jakarta Selatan,Cilandak,5,46,475,48905.0
2012,Jakarta Selatan,Kebayoran Baru,10,66,656,49084.0
2012,Jakarta Selatan,Pancoran,6,43,481,48865.0
2012,Jakarta Selatan,Jagakarsa,6,54,543,75825.0
2012,Jakarta Selatan,Pesanggrahan,5,51,527,71240.0
2012,Jakarta Timur,Matraman,6,62,798,61535.0
2012,Jakarta Timur,Pulo Gadung,7,93,1026,96194.0
2012,Jakarta Timur,Jatinegara,8,90,1140,97380.0
2012,Jakarta Timur,Kramat Jati,7,65,653,86141.0
2012,Jakarta Timur,Pasar Rebo,5,53,524,59322.0
2012,Jakarta Timur,Cakung,7,84,949,151652.0
2012,Jakarta Timur,Duren Sawit,7,95,1101,119690.0
2012,Jakarta Timur,Makasar,5,53,573,60434.0
2012,Jakarta Timur,Ciracas,5,49,600,82667.0
2012,Jakarta Timur,Cipayung,8,56,503,68071.0
2013,Kepulauan Seribu,Kepulauan Seribu Selatan,3,11,52,2701.0
2013,Kepulauan Seribu,Kepulauan Seribu Utara,3,13,75,4140.0
2013,Jakarta Pusat,Gambir,6,44,484,30813.0
2013,Jakarta Pusat,Sawah Besar,5,49,597,42640.0
2013,Jakarta Pusat,Kemayoran,8,77,1031,74310.0
2013,Jakarta Pusat,Senen,6,48,515,38973.0
2013,Jakarta Pusat,Cempaka Putih,3,30,375,29067.0
2013,Jakarta Pusat,Menteng,5,38,425,26703.0
2013,Jakarta Pusat,Tanah Abang,7,67,724,53574.0
2013,Jakarta Pusat,Johar Baru,4,40,558,41006.0
2013,Jakarta Utara,Penjaringan,5,70,837,94440.0
2013,Jakarta Utara,Tanjung Priok,7,103,1269,121646.0
2013,Jakarta Utara,Koja,6,82,906,97702.0
2013,Jakarta Utara,Cilincing,7,85,997,119434.0
2013,Jakarta Utara,Pademangan,3,34,432,50722.0
2013,Jakarta Utara,Kelapa Gading,3,68,707,40049.0
2013,Jakarta Barat,Cengkareng,6,84,1007,150422.0
2013,Jakarta Barat,Grogol Petamburan,7,73,868,71845.0
2013,Jakarta Barat,Taman Sari,8,60,688,42785.0
2013,Jakarta Barat,Tambora,11,96,1082,83158.0
2013,Jakarta Barat,Kebon Jeruk,7,70,716,94146.0
2013,Jakarta Barat,Kalideres,5,74,745,114054.0
2013,Jakarta Barat,Palmerah,6,61,712,64889.0
2013,Jakarta Barat,Kembangan,6,63,617,74530.0
2013,Jakarta Selatan,Tebet,7,80,939,72162.0
2013,Jakarta Selatan,Setiabudi,8,51,512,35555.0
2013,Jakarta Selatan,Mampang Prapatan,5,38,411,45606.0
2013,Jakarta Selatan,Pasar Minggu,7,65,725,88594.0
2013,Jakarta Selatan,Kebayoran Lama,6,77,861,90314.0
2013,Jakarta Selatan,Cilandak,5,46,476,61426.0
2013,Jakarta Selatan,Kebayoran Baru,10,73,660,46211.0
2013,Jakarta Selatan,Pancoran,6,43,481,48042.0
2013,Jakarta Selatan,Jagakarsa,6,54,544,85783.0
2013,Jakarta Selatan,Pesanggrahan,5,51,530,66330.0
2013,Jakarta Timur,Matraman,6,62,798,59055.0
2013,Jakarta Timur,Pulo Gadung,7,93,1026,91959.0
2013,Jakarta Timur,Jatinegara,8,90,1140,94473.0
2013,Jakarta Timur,Kramat Jati,7,65,653,85633.0
2013,Jakarta Timur,Pasar Rebo,5,53,524,58676.0
2013,Jakarta Timur,Cakung,7,86,963,147484.0
2013,Jakarta Timur,Duren Sawit,7,95,1102,116710.0
2013,Jakarta Timur,Makasar,5,53,573,59060.0
2013,Jakarta Timur,Ciracas,5,49,602,81436.0
2013,Jakarta Timur,Cipayung,8,56,503,67925.0
2014,Kepulauan Seribu,Kepulauan Seribu Selatan,3,13,75,4378.0
2014,Kepulauan Seribu,Kepulauan Seribu Utara,3,11,52,2886.0
2014,Jakarta Pusat,Gambir,6,44,484,32827.0
2014,Jakarta Pusat,Sawah Besar,5,49,597,45436.0
2014,Jakarta Pusat,Kemayoran,8,77,1031,79174.0
2014,Jakarta Pusat,Senen,6,48,515,41618.0
2014,Jakarta Pusat,Cempaka Putih,3,30,376,31168.0
2014,Jakarta Pusat,Menteng,5,38,425,28731.0
2014,Jakarta Pusat,Tanah Abang,7,67,724,57096.0
2014,Jakarta Pusat,Johar Baru,4,40,558,43440.0
