event_name;event_date;event_link;event_location
UFC Fight Night: Rozenstruik vs. Almeida;May 13, 2023;http://www.ufcstats.com/event-details/901cddcbfa079097;Charlotte, North Carolina, USA
UFC 288: Sterling vs. Cejudo;May 06, 2023;http://www.ufcstats.com/event-details/3c6976f8182d9527;Newark, New Jersey, USA
UFC Fight Night: Song vs. Simon;April 29, 2023;http://www.ufcstats.com/event-details/51b1e2fd9872005b;Las Vegas, Nevada, USA
UFC Fight Night: Pavlovich vs. Blaydes;April 22, 2023;http://www.ufcstats.com/event-details/6fb1ba67bef41b37;Las Vegas, Nevada, USA
UFC Fight Night: Holloway vs. Allen;April 15, 2023;http://www.ufcstats.com/event-details/15b1b21cd743d652;Kansas City, Missouri, USA
UFC 287: Pereira vs. Adesanya 2;April 08, 2023;http://www.ufcstats.com/event-details/3dc3022232b79c7a;Miami, Florida, USA
UFC Fight Night: Vera vs. Sandhagen;March 25, 2023;http://www.ufcstats.com/event-details/aec273fcb765330d;San Antonio, Texas, USA
UFC 286: Edwards vs. Usman 3;March 18, 2023;http://www.ufcstats.com/event-details/e4bb7e483c4ad318;London, England, United Kingdom
UFC Fight Night: Yan vs. Dvalishvili;March 11, 2023;http://www.ufcstats.com/event-details/35080a7f406f9ab3;Las Vegas, Nevada, USA
UFC 285: Jones vs. Gane;March 04, 2023;http://www.ufcstats.com/event-details/1ccff7f0cfdf85eb;Las Vegas, Nevada, USA
UFC Fight Night: Muniz vs. Allen;February 25, 2023;http://www.ufcstats.com/event-details/806975e1b4f47b27;Las Vegas, Nevada, USA
UFC Fight Night: Andrade vs. Blanchfield;February 18, 2023;http://www.ufcstats.com/event-details/f21a3d68fb9df387;Las Vegas, Nevada, USA
UFC 284: Makhachev vs. Volkanovski;February 11, 2023;http://www.ufcstats.com/event-details/01dd4cdc2446f665;Perth, Western Australia, Australia
UFC Fight Night: Lewis vs. Spivac;February 04, 2023;http://www.ufcstats.com/event-details/d26394fc0e8e880a;Las Vegas, Nevada, USA
UFC 283: Teixeira vs. Hill;January 21, 2023;http://www.ufcstats.com/event-details/5717efc6f271cd52;Rio de Janeiro, Rio de Janeiro, Brazil
UFC Fight Night: Strickland vs. Imavov;January 14, 2023;http://www.ufcstats.com/event-details/2e2cdb6e9eb84bb9;Las Vegas, Nevada, USA
UFC Fight Night: Cannonier vs. Strickland;December 17, 2022;http://www.ufcstats.com/event-details/56ec58954158966a;Las Vegas, Nevada, USA
UFC 282: Blachowicz vs. Ankalaev;December 10, 2022;http://www.ufcstats.com/event-details/f65a0eb902f9476b;Las Vegas, Nevada, USA
UFC Fight Night: Thompson vs. Holland;December 03, 2022;http://www.ufcstats.com/event-details/b23388ff8ac6637b;Orlando, Florida, USA
UFC Fight Night: Nzechukwu vs. Cutelaba;November 19, 2022;http://www.ufcstats.com/event-details/012fc7cd0779c09a;Las Vegas, Nevada, USA
