title,subtitle,narrator,runtime,release,language,ratings,price
The Inner Work,An Invitation to True Freedom and Lasting Happiness,"Narrated by: Mathew Micheletti, Ashley Cottrell",Length: 5 hrs and 45 mins,Release date: 11-21-22,Language: English,"5 out of 5 stars
6 ratings",$19.95
Think and Grow Rich,no subtitle,Narrated by: Erik Synnestvedt,Length: 9 hrs and 35 mins,Release date: 10-16-07,Language: English,"4.5 out of 5 stars
29,658 ratings",$24.95
Monsters and How to Tame Them,no subtitle,Narrated by: Kevin Hart,Length: 5 hrs and 37 mins,Release date: 09-15-22,Language: English,"5 out of 5 stars
1,102 ratings",$29.95
Identity Switch,Becoming the Woman Who Gets What She Wants,Narrated by: April Mason,Length: 1 hr and 58 mins,Release date: 12-13-22,Language: English,"5 out of 5 stars
11 ratings",$6.95
The Untethered Soul,The Journey Beyond Yourself,Narrated by: Peter Berkrot,Length: 6 hrs and 11 mins,Release date: 12-12-11,Language: English,"4.5 out of 5 stars
27,791 ratings",$24.49
The Four Agreements,no subtitle,Narrated by: Peter Coyote,Length: 2 hrs and 31 mins,Release date: 01-27-05,Language: English,"5 out of 5 stars
52,458 ratings",$14.95
The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Narrated by: Stephen R. Covey,Length: 13 hrs and 4 mins,Release date: 12-28-03,Language: English,"4.5 out of 5 stars
38,356 ratings",$16.95
"Work, Parent, Thrive","12 Science-Backed Strategies to Ditch Guilt, Manage Overwhelm, and Grow Connection (When Everything Feels Like Too Much)",Narrated by: Jennifer Cole,Length: 9 hrs and 37 mins,Release date: 11-01-22,Language: English,"5 out of 5 stars
3 ratings",$20.99
The Light We Carry,Overcoming in Uncertain Times,Narrated by: Michelle Obama,Length: 9 hrs and 59 mins,Release date: 11-15-22,Language: English,"5 out of 5 stars
2,629 ratings",$35.00
The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Narrated by: Ryan Holiday,Length: 6 hrs and 7 mins,Release date: 05-06-14,Language: English,"4.5 out of 5 stars
20,030 ratings",$19.95
A Heart That Works,no subtitle,Narrated by: Rob Delaney,Length: 3 hrs and 25 mins,Release date: 11-29-22,Language: English,"5 out of 5 stars
396 ratings",$17.49
Men with Adult ADHD,"Improve Concentration, Increase Productivity, and Stop Feeling Like a Failure",Narrated by: Helpful Matthew,Length: 3 hrs and 50 mins,Release date: 04-14-22,Language: English,"4 out of 5 stars
70 ratings",$14.95
ADHD Raising an Explosive Child,The Stop Yelling Parenting Strategies to Discipline Even the Most Unruly and Scattered Kid,Narrated by: DM Studios,Length: 5 hrs,Release date: 11-16-22,Language: English,"4.5 out of 5 stars
55 ratings",$19.95
I'm Glad My Mom Died,no subtitle,Narrated by: Jennette McCurdy,Length: 6 hrs and 26 mins,Release date: 08-09-22,Language: English,"5 out of 5 stars
79,388 ratings",$13.99
The Subtle Art of Not Giving a F*ck,A Counterintuitive Approach to Living a Good Life,Narrated by: Roger Wayne,Length: 5 hrs and 17 mins,Release date: 09-13-16,Language: English,"4.5 out of 5 stars
165,567 ratings",$17.92
How to Win Friends & Influence People,no subtitle,Narrated by: Andrew MacMillan,Length: 7 hrs and 15 mins,Release date: 09-16-04,Language: English,"4.5 out of 5 stars
95,351 ratings",$16.72
Adult Children of Emotionally Immature Parents,"How to Heal from Distant, Rejecting, or Self-Involved Parents",Narrated by: Marguerite Gavin,Length: 6 hrs and 50 mins,Release date: 05-10-16,Language: English,"5 out of 5 stars
5,226 ratings",$24.49
How to Talk to Anyone,92 Little Tricks for Big Success in Relationships,"Narrated by: Joyce Bean, Leil Lowndes",Length: 8 hrs and 59 mins,Release date: 09-01-15,Language: English,"4 out of 5 stars
11,609 ratings",$16.95
Be It Until You Become It,The Law of Attraction Explained Through Neuroscience and Ancient Wisdom,Narrated by: Natasha Graziano,Length: 4 hrs and 47 mins,Release date: 11-16-22,Language: English,"5 out of 5 stars
6 ratings",$14.95
The Seven Spiritual Laws of Success,no subtitle,Narrated by: Deepak Chopra,Length: 1 hr and 26 mins,Release date: 12-16-99,Language: English,"5 out of 5 stars
8,585 ratings",$8.37
