title,subtitle,narrator,runtime,release,language,ratings,price,link
1. Never Finished,Unshackle Your Mind and Win the War Within,"Narrated by: David Goggins, Adam Skolnick, Jacqueline Gardner",Length: 11 hrs and 6 mins,Release date: 12-06-22,Language: English,"5 out of 5 stars
4,734 ratings",$24.95,https://www.audible.com/pd/Never-Finished-Audiobook/B0BJ34FWZ3?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
2. The Light We Carry,Overcoming in Uncertain Times,Narrated by: Michelle Obama,Length: 9 hrs and 59 mins,Release date: 11-15-22,Language: English,"5 out of 5 stars
2,630 ratings",$35.00,https://www.audible.com/pd/The-Light-We-Carry-Audiobook/B0B5FP7Z48?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
3. Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,Narrated by: James Clear,Length: 5 hrs and 35 mins,Release date: 10-16-18,Language: English,"5 out of 5 stars
115,865 ratings",$16.72,https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
4. Fairy Tale,no subtitle,"Narrated by: Seth Numrich, Stephen King",Length: 24 hrs and 6 mins,Release date: 09-06-22,Language: English,"5 out of 5 stars
47,383 ratings",$26.90,https://www.audible.com/pd/Fairy-Tale-Audiobook/B09R62PV4B?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
5. I'm Glad My Mom Died,no subtitle,Narrated by: Jennette McCurdy,Length: 6 hrs and 26 mins,Release date: 08-09-22,Language: English,"5 out of 5 stars
79,390 ratings",$13.99,https://www.audible.com/pd/Im-Glad-My-Mom-Died-Audiobook/B09VHWHJS2?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
6. Lessons in Chemistry,A Novel,"Narrated by: Miranda Raison, Bonnie Garmus, Pandora Sykes",Length: 11 hrs and 55 mins,Release date: 04-05-22,Language: English,"4.5 out of 5 stars
11,476 ratings",$17.92,https://www.audible.com/pd/Lessons-in-Chemistry-Audiobook/0593507533?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
7. The Boys from Biloxi,A Legal Thriller,Narrated by: Michael Beck,Length: 17 hrs and 22 mins,Release date: 10-18-22,Language: English,"4.5 out of 5 stars
6,259 ratings",$35.00,https://www.audible.com/pd/The-Boys-from-Biloxi-Audiobook/B09ZMX3NJ2?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
8. It Starts with Us,A Novel,"Narrated by: Colin Donnell, Olivia Song",Length: 8 hrs and 41 mins,Release date: 10-18-22,Language: English,"4.5 out of 5 stars
20,711 ratings",$23.62,https://www.audible.com/pd/It-Starts-with-Us-Audiobook/B09SBP7MWN?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
9. He Who Fights with Monsters 8,"A LitRPG Adventure (He Who Fights with Monsters, Book 8)",Narrated by: Heath Miller,Length: 18 hrs and 12 mins,Release date: 12-13-22,Language: English,"5 out of 5 stars
3,760 ratings",$59.99,https://www.audible.com/pd/He-Who-Fights-with-Monsters-8-Audiobook/B0BDMQN3S8?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
10. Can't Hurt Me,Master Your Mind and Defy the Odds,"Narrated by: David Goggins, Adam Skolnick",Length: 13 hrs and 37 mins,Release date: 11-28-18,Language: English,"5 out of 5 stars
184,046 ratings",$24.95,https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?plink=pj5X6kMkaPteYpKn&ref=a_adblbests_c3_adblp13nbssp_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WB5NC44JBPZ4YAAVFXA6
