sum_match;sum_team_id;sum_opponent_id;sum_player;sum_player_link;sum_nationality;sum_position;sum_age;sum_minutes_played;sum_goals;sum_assists;sum_penalty_kick;sum_penalty_kick_att;sum_shots;sum_shots_on_target;sum_yellow_cards;sum_red_cards;sum_touches;sum_tackles;sum_intercepts;sum_blocks;sum_xg;sum_npxg;sum_xag;sum_sca;sum_gca;sum_passes_completed;sum_passes_att;sum_pass_pct;sum_progressive_passes;sum_carries;sum_progressive_carries;sum_takeon_att;sum_takeon_successful;psg_total_cmp;psg_total_att;psg_total_pct;psg_total_totdist;psg_total_prgdist;psg_short_cmp;psg_short_att;psg_short_pct;psg_medium_cmp;psg_medium_att;psg_medium_pct;psg_long_cmp;psg_long_att;psg_long_pct;psg_ast;psg_xag;psg_xa;psg_kp;psg_1_3;psg_ppa;psg_crspa;psg_prgp;pst_att;pst_live;pst_dead;pst_fk;pst_tb;pst_sw;pst_crs;pst_ti;pst_ck;pst_ck_in;pst_ck_out;pst_ck_str;pst_out_cmp;pst_out_off;pst_out_blocks;def_tac_tkl;def_tac_tklw;def_tac_def3rd;def_tac_mid3rd;def_tac_att3rd;def_cha_tkl;def_cha_att;def_cha_tklpct;def_cha_lost;def_blo_blocks;def_blo_sh;def_blo_pass;def_int;def_tklint;def_clr;def_err;pos_tou_touches;pos_tou_defpen;pos_tou_def3rd;pos_tou_mid3rd;pos_tou_att3rd;pos_tou_attpen;pos_tou_live;pos_tko_att;pos_tko_succ;pos_tko_succpct;pos_tko_tkld;pos_tko_tkldpct;pos_car_carries;pos_car_totdist;pos_car_prgdist;pos_car_prgc;pos_car_1_3;pos_car_cpa;pos_car_mis;pos_car_dis;pos_rcv_rec;pos_rcv_prgr;mis_per_crdy;mis_per_crdr;mis_per_2crdy;mis_per_fls;mis_per_fld;mis_per_off;mis_per_crs;mis_per_int;mis_per_tklw;mis_per_pkwon;mis_per_pkcon;mis_per_og;mis_per_recov;mis_aer_won;mis_aer_lost;mis_aer_wonpct
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Odsonne Édouard;https://fbref.com/en/players/0562b7f1/Odsonne-Edouard;fr FRA;FW;24-201;57;0;0;0;0;3;1;0;0;20;0;0;0;0.2;0.2;0.0;1;0;3;6;50.0;0;12;2;2;1;3;6;50.0;34;1;3;4;75.0;0;2;0.0;0;0;;0;0.0;0.0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;20;1;3;9;9;4;20;2;1;50.0;1;50.0;12;47;29;2;3;1;2;3;11;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0.0
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Jean-Philippe Mateta;https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta;fr FRA;FW;25-038;33;0;0;0;0;1;0;0;0;13;0;0;0;0.1;0.1;0.2;0;0;8;10;80.0;0;8;1;0;0;8;10;80.0;78;0;6;7;85.7;1;1;100.0;0;0;;0;0.2;0.0;1;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;13;0;0;5;8;4;13;0;0;;0;;8;23;2;1;0;1;1;0;10;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.0
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Wilfried Zaha;https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha;ci CIV;LW;29-268;90;0;0;0;0;1;0;0;0;50;3;0;0;0.1;0.1;0.6;3;0;30;39;76.9;2;44;7;5;3;30;39;76.9;387;87;22;23;95.7;7;8;87.5;0;2;0.0;0;0.6;0.8;2;0;3;1;2;39;39;0;0;1;0;4;0;0;0;0;0;30;0;2;3;2;0;1;2;1;2;50.0;1;0;0;0;0;3;0;0;50;0;7;17;27;6;50;5;3;60.0;2;40.0;44;396;151;7;4;3;5;4;41;8;0;0;0;2;5;1;4;0;2;0;0;0;9;0;0;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;gh GHA;RW,AM;30-328;90;0;0;0;0;1;0;0;0;43;2;0;0;0.1;0.1;0.1;7;0;27;34;79.4;0;34;5;9;6;27;34;79.4;404;27;18;20;90.0;6;6;100.0;2;4;50.0;0;0.1;0.0;3;0;1;1;0;34;34;0;0;0;0;4;0;0;0;0;0;27;0;0;2;1;0;0;2;0;4;0.0;4;0;0;0;0;2;1;0;43;1;7;19;20;1;43;9;6;66.7;3;33.3;34;382;174;5;5;1;1;5;34;7;0;0;0;4;0;0;4;0;1;0;0;0;4;2;3;40.0
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Eberechi Eze;https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze;eng ENG;AM;24-037;85;0;0;0;0;1;1;0;0;55;1;0;1;0.5;0.5;0.0;1;0;32;41;78.0;0;34;1;4;1;32;41;78.0;533;119;15;16;93.8;11;12;91.7;3;7;42.9;0;0.0;0.1;0;2;0;0;0;41;30;10;5;0;0;5;0;3;1;2;0;32;1;2;1;1;1;0;0;0;0;;0;1;0;1;0;1;0;0;55;1;7;26;23;3;55;4;1;25.0;3;75.0;34;180;56;1;4;1;5;1;32;4;0;0;0;0;0;0;5;0;1;0;0;0;5;1;2;33.3
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Malcolm Ebiowei;https://fbref.com/en/players/fa9fa773/Malcolm-Ebiowei;eng ENG;RW;18-335;5;0;0;0;0;0;0;0;0;5;0;0;0;0.0;0.0;0.0;0;0;2;3;66.7;1;4;1;3;1;2;3;66.7;53;12;1;1;100.0;0;0;;1;1;100.0;0;0.0;0.0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;3;1;33.3;2;66.7;4;57;21;1;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Jeffrey Schlupp;https://fbref.com/en/players/3312f911/Jeffrey-Schlupp;gh GHA;DM;29-225;85;0;0;0;0;3;0;0;0;53;4;1;2;0.2;0.2;0.0;1;0;30;35;85.7;2;36;1;4;3;30;35;85.7;398;43;16;18;88.9;11;11;100.0;1;4;25.0;0;0.0;0.0;0;0;1;0;2;35;35;0;0;1;0;0;0;0;0;0;0;30;0;0;4;2;1;3;0;0;2;0.0;2;2;1;1;1;5;0;0;53;3;11;27;16;3;53;4;3;75.0;1;25.0;36;114;35;1;3;0;2;1;32;4;0;0;0;2;0;0;0;1;2;0;0;0;6;1;2;33.3
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Will Hughes;https://fbref.com/en/players/a0666d3e/Will-Hughes;eng ENG;DM;27-110;5;0;0;0;0;0;0;0;0;5;0;0;0;0.0;0.0;0.0;0;0;3;5;60.0;0;4;0;0;0;3;5;60.0;24;0;3;3;100.0;0;1;0.0;0;0;;0;0.0;0.0;0;0;0;0;0;5;4;1;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;5;0;0;2;3;2;5;0;0;;0;;4;6;3;0;0;0;0;1;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Cheick Doucouré;https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure;ml MLI;DM;22-209;74;0;0;0;0;0;0;0;0;39;1;1;1;0.0;0.0;0.0;1;0;32;34;94.1;6;25;2;0;0;32;34;94.1;501;165;19;20;95.0;10;10;100.0;3;4;75.0;0;0.0;0.0;0;3;0;0;6;34;34;0;0;0;0;0;0;0;0;0;0;32;0;0;1;1;1;0;0;0;2;0.0;2;1;0;1;1;2;1;0;39;0;12;23;5;0;39;0;0;;0;;25;100;53;2;0;0;0;0;24;0;0;0;0;0;0;0;0;1;1;0;0;0;5;0;0;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Luka Milivojević;https://fbref.com/en/players/2ce2508a/Luka-Milivojevic;rs SRB;DM;31-120;16;0;0;0;0;0;0;0;0;17;0;0;0;0.0;0.0;0.0;0;0;15;17;88.2;3;12;0;0;0;15;17;88.2;225;60;5;5;100.0;8;10;80.0;0;0;;0;0.0;0.0;0;1;1;0;3;17;17;0;0;0;0;1;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;17;0;2;10;5;0;17;0;0;;0;;12;38;10;0;0;0;0;0;14;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;
