,team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
0,Action PH,Fallen5,2,0,3h 54m ago,Playoffs-Lower Final,The Esports Club - Challenger Series 6,/56828/action-ph-vs-fallen5-the-esports-club-challenger-series-6-lbf,https://owcdn.net/img/61b930626ebac.png
1,Regnum Carya Esports,Besiktas Esports,9,13,19h 54m ago,Group Stage-Group B,Open Fire Legacy,/60861/regnum-carya-esports-vs-besiktas-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
2,Surreal Esports,OtherSide,13,7,20h 54m ago,Group Stage-Group A,Open Fire Legacy,/60860/surreal-esports-vs-otherside-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
3,Fire Flux Young,Galakticos,13,10,21h 54m ago,Group Stage-Group A,Open Fire Legacy,/60859/fire-flux-young-vs-galakticos-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
4,Kafalar eSports,Eternal Fire,6,13,22h 54m ago,Group Stage-Group A,Open Fire Legacy,/60858/kafalar-esports-vs-eternal-fire-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
5,Futbolist,Team Demiral Esports,16,18,1d 0h ago,Group Stage-Group B,Open Fire Legacy,/60857/futbolist-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
6,Thunderbolts Gaming,1907 Fenerbahçe Esports,13,10,1d 1h ago,Group Stage-Group B,Open Fire Legacy,/60856/thunderbolts-gaming-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
7,Action PH,Alter Ego,0,2,1d 4h ago,Playoffs-Upper Final,The Esports Club - Challenger Series 6,/56821/action-ph-vs-alter-ego-the-esports-club-challenger-series-6-ubf,https://owcdn.net/img/61b930626ebac.png
8,Global Esports,Fallen5,0,2,1d 8h ago,Playoffs-Lower Round 3,The Esports Club - Challenger Series 6,/56827/global-esports-vs-fallen5-the-esports-club-challenger-series-6-lr3,https://owcdn.net/img/61b930626ebac.png
9,TSM Academy,Radiance,0,2,1d 13h ago,Playoffs-Grand Final,Nerd Street Gamers Winter Championship - Open 10,/60661/tsm-academy-vs-radiance-nerd-street-gamers-winter-championship-open-10-gf,https://owcdn.net/img/61679a1bab823.png
10,TSM Academy,Pioneers,2,1,1d 15h ago,Playoffs-Semifinals,Nerd Street Gamers Winter Championship - Open 10,/60659/tsm-academy-vs-pioneers-nerd-street-gamers-winter-championship-open-10-sf,https://owcdn.net/img/61679a1bab823.png
11,Radiance,Renegades,2,0,1d 15h ago,Playoffs-Semifinals,Nerd Street Gamers Winter Championship - Open 10,/60660/radiance-vs-renegades-nerd-street-gamers-winter-championship-open-10-sf,https://owcdn.net/img/61679a1bab823.png
12,TSM Academy,Soniqs,2,0,1d 18h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60655/tsm-academy-vs-soniqs-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
13,Betrayed's Fantasy Team,Pioneers,0,2,1d 18h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60656/betrayeds-fantasy-team-vs-pioneers-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
14,Radiance,Built By Gamers Academy,2,0,1d 18h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60657/radiance-vs-built-by-gamers-academy-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
15,Renegades,VIRTUOSO,2,0,1d 18h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60658/renegades-vs-virtuoso-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
16,Regnum Carya Esports,Thunderbolts Gaming,13,3,1d 21h ago,Group Stage-Group B,Open Fire Legacy,/60716/regnum-carya-esports-vs-thunderbolts-gaming-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
17,Futbolist,1907 Fenerbahçe Esports,5,13,1d 21h ago,Group Stage-Group B,Open Fire Legacy,/60715/futbolist-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
18,Besiktas Esports,Team Demiral Esports,4,13,1d 22h ago,Group Stage-Group B,Open Fire Legacy,/60714/besiktas-esports-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
19,Futbolist,Thunderbolts Gaming,11,13,1d 23h ago,Group Stage-Group B,Open Fire Legacy,/60713/futbolist-vs-thunderbolts-gaming-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
20,Regnum Carya Esports,Team Demiral Esports,8,13,2d 0h ago,Group Stage-Group B,Open Fire Legacy,/60712/regnum-carya-esports-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
21,Besiktas Esports,1907 Fenerbahçe Esports,13,10,2d 1h ago,Group Stage-Group B,Open Fire Legacy,/60711/besiktas-esports-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
22,Morph Impact,Fallen5,1,2,2d 4h ago,Playoffs-Lower Round 2,The Esports Club - Challenger Series 6,/56826/morph-impact-vs-fallen5-the-esports-club-challenger-series-6-lr2,https://owcdn.net/img/61b930626ebac.png
23,Enigma Gaming,Global Esports,0,2,2d 8h ago,Playoffs-Lower Round 2,The Esports Club - Challenger Series 6,/56825/enigma-gaming-vs-global-esports-the-esports-club-challenger-series-6-lr2,https://owcdn.net/img/61b930626ebac.png
24,TSM Academy,Team Reckaroo,2,1,2d 14h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60647/tsm-academy-vs-team-reckaroo-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
25,ex-FLICKBAITERS,Soniqs,1,2,2d 14h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60648/ex-flickbaiters-vs-soniqs-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
26,Betrayed's Fantasy Team,GunsForHire,2,0,2d 14h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60649/betrayeds-fantasy-team-vs-gunsforhire-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
