,player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch (won/played),total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
0,jawgemo,T1A,46,304.5,1.58,186.0,1.07,0.22,0.13,0.11,35%,0.11,1/6,26,49,31,10,6,1,astra,na
1,PapaSmurf,TLP,17,295.0,1.20,169.6,1.06,0.24,0.00,0.12,26%,0.12,0/1,18,18,15,4,0,1,astra,na
2,Ponder,,39,290.5,1.29,198.2,1.03,0.21,0.10,0.08,35%,0.08,0/5,29,40,31,8,4,1,astra,na
3,Bobovo,,84,280.8,1.56,162.0,1.06,0.27,0.19,0.10,26%,0.10,1/13,29,89,57,23,16,1,astra,na
4,contii,RESO,23,274.0,1.10,167.1,0.96,0.39,0.13,0.00,24%,0.00,0/2,22,22,20,9,3,1,astra,na
5,Skadoodle,T1,32,265.0,1.70,155.2,1.06,0.25,0.06,0.03,26%,0.03,0/7,25,34,20,8,2,1,astra,na
6,Remedy,Litt,21,260.0,1.19,209.0,0.90,0.24,0.05,0.10,38%,0.10,0/4,19,19,16,5,1,1,astra,na
7,Korsonix,ez5,19,259.0,1.07,192.8,0.84,0.42,0.11,0.00,27%,0.00,3/5,16,16,15,8,2,1,astra,na
8,POISED,Rise,59,256.0,1.43,161.7,0.85,0.36,0.14,0.02,20%,0.02,1/4,19,50,35,21,8,1,astra,na
9,truo,LMND,49,247.0,1.36,161.1,0.92,0.31,0.04,0.02,48%,0.02,0/4,26,45,33,15,2,1,astra,na
10,Nashi,,22,245.0,1.13,151.0,0.82,0.32,0.05,0.14,15%,0.14,0/2,18,18,16,7,1,1,astra,na
11,Yolo,God,24,244.0,0.90,201.3,0.79,0.17,0.13,0.08,35%,0.08,0/4,19,19,21,4,3,1,astra,na
12,dior,Ultr,50,244.0,1.14,156.1,0.82,0.26,0.10,0.08,21%,0.08,0/9,23,41,36,13,5,1,astra,na
13,SmellyFerret,,18,239.0,0.88,139.5,0.78,0.33,0.06,0.11,33%,0.11,0/1,14,14,16,6,1,1,astra,na
14,justinovah,LMND,105,238.8,1.18,153.7,0.83,0.24,0.10,0.14,35%,0.14,3/12,19,87,74,25,11,1,astra,na
15,LuckyLeader,,19,238.0,1.78,158.8,0.84,0.11,0.00,0.00,22%,0.00,0/1,16,16,9,2,0,1,astra,na
16,mocking,LT,21,238.0,1.06,147.1,0.86,0.24,0.10,0.05,42%,0.05,0/3,18,18,17,5,2,1,astra,na
17,dephh,XSET,55,238.0,1.52,149.3,0.91,0.31,0.15,0.02,41%,0.02,0/8,20,50,33,17,8,1,astra,na
18,MARIO,Goom,21,238.0,1.19,139.1,0.90,0.10,0.10,0.10,38%,0.10,0/4,19,19,16,2,2,1,astra,na
19,ZachaREEE,FaZe,189,235.6,1.31,140.2,0.86,0.26,0.10,0.06,27%,0.06,3/20,23,162,124,49,19,1,astra,na
20,Boostio,EG,111,234.2,1.09,139.2,0.79,0.23,0.12,0.07,28%,0.07,2/11,23,88,81,25,13,1,astra,na
21,miku,Cele,20,233.0,1.13,137.4,0.85,0.10,0.05,0.15,21%,0.15,0/4,17,17,15,2,1,1,astra,na
22,dice,,17,233.0,1.08,143.6,0.82,0.06,0.06,0.00,41%,0.00,0/3,14,14,13,1,1,1,astra,na
23,s0m,NRG,126,232.3,1.30,135.3,0.85,0.37,0.13,0.10,24%,0.10,3/11,20,107,82,46,16,1,astra,na
24,Degel,,40,232.0,1.03,141.6,0.83,0.30,0.10,0.05,20%,0.05,2/11,18,33,32,12,4,1,astra,na
25,isoIate,,22,230.0,1.00,214.0,0.82,0.23,0.14,0.05,35%,0.05,1/5,18,18,18,5,3,1,astra,na
26,VelocityFear,UYU,20,229.0,1.27,123.5,0.95,0.25,0.10,0.10,20%,0.10,1/7,19,19,15,5,2,1,astra,na
27,Pashin,,22,229.0,1.06,138.9,0.82,0.27,0.09,0.05,13%,0.05,0/4,18,18,17,6,2,1,astra,na
28,foreplay,LRS,47,229.0,1.09,142.5,0.79,0.32,0.13,0.11,19%,0.11,2/5,19,37,34,15,6,1,astra,na
29,Arsh,,18,227.0,1.23,127.9,0.89,0.22,0.06,0.28,20%,0.28,1/3,16,16,13,4,1,1,astra,na
30,insky,RESO,219,225.8,1.30,145.5,0.82,0.24,0.08,0.08,31%,0.08,11/31,25,179,138,52,18,1,astra,na
31,jakee,UYU,63,225.3,0.98,128.6,0.73,0.27,0.06,0.05,23%,0.05,0/4,19,46,47,17,4,1,astra,na
32,Trill,ez5,384,225.2,1.35,142.0,0.86,0.27,0.10,0.06,26%,0.06,12/55,24,330,245,105,39,1,astra,na
33,Nabaskus,,22,224.0,0.89,162.8,0.73,0.09,0.05,0.00,36%,0.00,0/6,16,16,18,2,1,1,astra,na
34,Princessicy,AIMP,73,223.8,1.44,151.2,0.85,0.25,0.08,0.12,36%,0.12,2/10,24,62,43,18,6,1,astra,na
35,Unholykid,Kowa,19,223.0,0.76,138.9,0.68,0.26,0.16,0.11,29%,0.11,0/2,13,13,17,5,3,1,astra,na
36,Karra,VX,65,222.3,0.98,144.9,0.80,0.20,0.09,0.05,26%,0.05,0/12,21,52,53,13,6,1,astra,na
37,agility,CoT,21,222.0,0.88,138.9,0.71,0.33,0.10,0.19,24%,0.19,0/3,15,15,17,7,2,1,astra,na
38,Zaxx,Spec,18,222.0,0.88,132.9,0.78,0.06,0.17,0.06,34%,0.06,0/1,14,14,16,1,3,1,astra,na
39,cbui,,47,222.0,1.12,139.8,0.81,0.30,0.15,0.09,23%,0.09,2/13,23,38,34,14,7,1,astra,na
40,athxna,TSM.X,395,219.6,1.19,140.4,0.78,0.37,0.12,0.07,27%,0.07,3/42,28,308,259,148,47,1,astra,na
41,Sugarfree,LT,52,219.0,1.03,143.0,0.77,0.33,0.08,0.04,20%,0.04,1/8,21,40,39,17,4,1,astra,na
42,leah,Sola,46,219.0,1.00,138.7,0.74,0.30,0.04,0.07,34%,0.07,2/5,18,34,34,14,2,1,astra,na
43,Apoth,RNG,652,217.9,1.23,144.0,0.80,0.24,0.10,0.09,30%,0.09,11/79,29,522,423,155,63,1,astra,na
44,valyn,GRD,237,217.9,0.99,139.1,0.78,0.26,0.12,0.10,27%,0.10,1/14,26,185,187,61,28,1,astra,na
45,Blahst,Kowa,118,217.8,1.06,140.4,0.75,0.35,0.03,0.06,24%,0.06,2/22,21,89,84,41,3,1,astra,na
46,bdog,TSM.A,185,216.0,1.23,134.2,0.80,0.22,0.06,0.04,26%,0.04,2/24,26,148,120,40,11,1,astra,na
47,WeDid,KCP,21,216.0,1.06,148.8,0.81,0.14,0.00,0.14,28%,0.14,0/4,17,17,16,3,0,1,astra,na
48,euroh,,20,216.0,0.88,144.8,0.75,0.20,0.15,0.10,24%,0.10,0/3,15,15,17,4,3,1,astra,na
